block,output_page,x0,y0,x1,y1,scaled_w,scaled_h
1,0,18.0,18.0,594.0,169.1,576.0,151.1
2,0,18.0,169.1,594.0,361.9,576.0,192.8
3,0,18.0,361.9,594.0,569.3,576.0,207.4
4,0,18.0,569.3,594.0,714.2,576.0,144.8
5,1,18.0,18.0,594.0,206.4,576.0,188.4
6,1,18.0,206.4,594.0,419.0,576.0,212.6
7,2,18.0,18.0,594.0,420.1,576.0,402.1
8,2,18.0,420.1,594.0,719.2,576.0,299.1
9,3,18.0,18.0,594.0,391.4,576.0,373.4
10,3,18.0,391.4,594.0,724.2,576.0,332.8
11,4,18.0,18.0,594.0,223.4,576.0,205.4
12,4,18.0,223.4,594.0,503.0,576.0,279.6
13,5,18.0,18.0,594.0,321.3,576.0,303.3
14,5,18.0,321.3,594.0,570.5,576.0,249.2
15,6,18.0,18.0,594.0,343.2,576.0,325.2
16,6,18.0,343.2,594.0,600.3,576.0,257.1
17,7,18.0,18.0,594.0,237.6,576.0,219.6
18,7,18.0,237.6,594.0,578.7,576.0,341.0
19,8,18.0,18.0,594.0,405.7,576.0,387.7
20,9,18.0,18.0,594.0,406.0,576.0,388.0
21,10,18.0,18.0,594.0,709.0,576.0,691.0
22,11,18.0,18.0,594.0,185.2,576.0,167.2
23,11,18.0,185.2,594.0,344.9,576.0,159.6
24,11,18.0,344.9,594.0,536.7,576.0,191.8
25,12,18.0,18.0,594.0,324.7,576.0,306.7
26,13,18.0,18.0,594.0,709.0,576.0,691.0
27,14,18.0,18.0,594.0,383.3,576.0,365.3
28,14,18.0,383.3,594.0,501.8,576.0,118.5
29,15,18.0,18.0,594.0,291.2,576.0,273.2
30,15,18.0,291.2,594.0,447.3,576.0,156.1
31,16,18.0,18.0,594.0,559.9,576.0,541.9
32,16,18.0,559.9,594.0,744.8,576.0,184.8
